Dados de entrada:
Isotopo  Egama   IN  Efic      sEfic     Eres  sEres  Asp_Cd      sAsp_Cd   Asp         sAsp      Rcd   sRcd  k0        sk0   Fcd     sFcd    Gepi      sGepi    Gth      sGth     Q0        sQ0
Au198    411.80  1   1.27e-03  7.13e-06  5.65  0.4    1.6888E+09  2.48E+07  6.7801E+09  4.48E+07  2.02  0.02  1.00e+00  0.00  0.9999  0.0004  0.980800  0.00391  1.00000  0.00000  15.710000   0.298490
Au198    411.80  1   1.27e-03  7.13e-06  5.65  0.4    2.3997e+09  6.25e+06  1.0121e+10  3.22e+07  4.22  0.02  1.00e+00  0.00  0.9999  0.0004  0.980800  0.00391  1.00000  0.00000  15.710000   0.298490
